536,Palpitoad,C,C,C,C,E,T,T,E,E,C,T,T,T,T
537,Seismitoad,C,C,C,C,E,T,T,E,E,E,T,T,T,T
538,Throh,C,C,C,C,C,T,C,C,T,C,T,T,T,T
539,Sawk,C,C,C,C,C,C,T,T,C,C,T,T,T,T
540,Sewaddle,C,C,C,C,T,T,T,C,C,B,B,B,B,B
541,Swadloon,C,C,C,C,T,T,T,E,E,C,B,B,B,B
542,Leavanny,C,C,C,C,T,T,T,E,E,E,C,C,C,C
543,Venipede,C,C,C,C,B,C,C,T,T,B,C,C,T,T
544,Whirlipede,C,C,C,C,B,E,E,T,T,C,E,E,T,T
545,Scolipede,E,E,C,C,C,E,E,T,T,E,E,E,T,T
546,Cottonee,C,R,C,R,C,T,T,C,C,T,C,T,C,T
547,Whimsicott,C,E,C,E,E,T,T,E,E,T,E,T,E,T
548,Petilil,R,C,R,C,C,T,T,C,C,C,T,C,T,C
549,Lilligant,E,C,E,C,E,T,T,E,E,E,T,E,T,E
550,Basculin,C,C,C,C,C,C,C,T,T,T,T,T,C,C
551,Sandile,C,C,C,C,B,C,C,C,C,C,C,C,B,B
552,Krokorok,C,C,C,C,B,E,E,E,E,E,E,E,C,C
553,Krookodile,E,E,E,E,C,E,E,E,E,E,E,E,E,E
554,Darumaka,C,C,C,C,T,T,T,B,B,T,T,T,T,T
555,Darmanitan,C,C,C,C,T,T,T,C,C,T,T,T,T,T
556,Maractus,C,C,C,C,C,T,T,C,C,C,T,T,T,T
557,Dwebble,C,C,C,C,B,C,C,C,C,C,T,T,B,B
558,Crustle,C,C,C,C,C,E,E,C,C,E,T,T,C,C
559,Scraggy,C,C,C,C,C,C,C,C,C,T,T,T,C,C
560,Scrafty,E,E,C,C,E,E,E,E,E,T,T,T,E,E
561,Sigilyph,C,C,C,C,C,C,C,T,T,C,T,T,C,C
562,Yamask,C,C,C,C,T,T,T,B,B,T,T,T,EvB,EvB
563,Cofagrigus,C,C,E,E,T,T,T,C,C,T,T,T,Ev,Ev
564,Tirtouga,R,R,R,R,C,R,R,T,R,T,R,T,R,R
565,Carracosta,E,E,E,E,E,E,E,T,E,T,E,T,E,E
566,Archen,R,R,R,R,T,R,R,R,T,T,T,R,R,R
567,Archeops,E,E,E,E,T,E,E,E,T,T,T,E,E,E
568,Trubbish,C,C,C,C,T,C,C,C,C,B,C,C,C,C
569,Garbodor,C,C,C,C,T,C,C,E,E,C,C,C,E,E
570,Zorua,EV,EV,R,R,T,B,B,C,C,T,T,T,C,C
571,Zoroark,EV,EV,E,E,T,C,C,E,E,T,T,T,C,C
572,Minccino,C,C,C,C,T,T,T,C,C,C,T,T,C,C
573,Cinccino,C,C,C,C,T,T,T,E,E,E,T,T,E,E
574,Gothita,C,T,C,EvB,T,B,B,C,C,B,C,C,T,T
575,Gothorita,C,T,C,Ev,T,C,C,E,E,C,E,E,T,T
576,Gothitelle,C,T,C,EvE,T,E,E,E,E,E,E,E,T,T
577,Solosis,T,C,T,C,B,C,C,T,T,B,B,B,T,T
578,Duosion,T,C,T,C,C,E,E,T,T,C,C,C,T,T
579,Reuniclus,T,C,T,C,E,E,E,T,T,E,E,E,T,T
580,Ducklett,C,C,C,C,C,C,C,T,T,B,T,T,B,B
581,Swanna,C,C,C,C,E,E,E,T,T,C,T,T,C,C
582,Vanillite,C,C,B,B,B,C,C,T,T,T,C,C,C,C
583,Vanillish,C,C,C,C,C,E,E,T,T,T,C,C,C,C
584,Vanilluxe,E,E,C,C,E,E,E,T,T,T,E,E,C,C
585,Deerling,C,C,C,C,T,T,T,C,C,B,T,T,T,T
586,Sawsbuck,C,C,C,C,T,T,T,E,E,C,T,T,T,T
587,Emolga,C,C,C,C,C,C,C,T,T,C,C,C,C,C
588,Karrablast,C,C,C,C,C,C,C,T,T,T,T,T,T,T
589,Escavalier,E,E,E,E,E,E,E,T,T,T,T,T,T,T
590,Foongus,C,C,C,C,T,C,C,T,T,T,T,T,T,T
591,Amoonguss,C,C,C,C,T,C,C,T,T,T,T,T,T,T
592,Frillish,C,C,C,C,T,T,T,C,C,T,T,T,C,C
593,Jellicent,C,C,C,C,T,T,T,E,E,T,T,T,E,E
594,Alomomola,C,C,C,C,C,C,C,C,C,T,C,C,C,C
595,Joltik,C,C,C,C,B,T,T,C,C,B,T,T,T,T
596,Galvantula,E,E,E,E,C,T,T,E,E,C,T,T,T,T
597,Ferroseed,C,C,C,C,T,C,C,T,T,C,T,T,T,T
598,Ferrothorn,E,E,E,E,T,E,E,T,T,E,T,T,T,T
599,Klink,C,C,C,C,B,T,T,C,C,B,C,C,T,T
600,Klang,E,E,C,C,C,T,T,E,E,C,E,E,T,T
601,Klinklang,E,E,C,C,E,T,T,E,E,E,E,E,T,T
602,Tynamo,C,C,C,C,T,T,T,C,C,T,B,B,B,B
603,Eelektrik,E,E,C,C,T,T,T,E,E,T,B,B,B,B
604,Eelektross,E,E,E,E,T,T,T,E,E,T,C,C,C,C
605,Elgyem,C,C,C,C,C,T,T,C,C,T,T,T,C,C
606,Beheeyem,C,C,E,E,E,T,T,E,E,T,T,T,E,E
607,Litwick,C,C,C,C,T,C,C,T,T,B,C,C,C,C
608,Lampent,E,E,E,E,T,E,E,T,T,C,E,E,E,E
609,Chandelure,E,E,E,E,T,E,E,T,T,E,E,E,E,E
610,Axew,C,C,C,C,C,C,C,C,C,B,C,C,C,C
611,Fraxure,C,C,C,C,E,E,E,E,E,C,E,E,E,E
612,Haxorus,E,E,C,C,E,E,E,E,E,E,E,E,E,E
613,Cubchoo,C,C,C,C,T,C,C,C,C,B,T,T,T,T
614,Beartic,C,C,C,C,T,C,C,E,E,C,T,T,T,T
615,Cryogonal,C,C,C,C,T,C,C,T,T,T,T,T,T,T
616,Shelmet,C,C,C,C,C,C,C,T,T,T,T,T,T,T
617,Accelgor,E,E,E,E,E,E,E,T,T,T,T,T,T,T
618,Stunfisk,C,C,C,C,C,C,C,T,T,C,T,T,C,C
619,Mienfoo,C,C,C,C,T,C,C,T,T,C,T,T,C,C
620,Mienshao,C,C,C,C,T,E,E,T,T,E,T,T,E,E
621,Druddigon,C,C,C,C,C,C,C,C,C,C,T,T,C,C
622,Golett,C,C,B,B,C,C,C,T,T,B,T,T,C,T
623,Golurk,E,E,C,C,E,E,E,T,T,C,T,T,E,T
624,Pawniard,C,C,C,C,C,C,C,T,T,C,T,T,C,C
625,Bisharp,C,C,E,E,E,R,R,T,T,E,T,T,C,C
626,Bouffalant,C,C,C,C,T,T,T,C,C,T,T,T,T,T
627,Rufflet,T,C,T,C,T,T,T,C,C,C,C,T,C,T
628,Braviary,T,C,T,C,T,T,T,C,C,E,C,T,C,T
629,Vullaby,C,T,C,T,T,T,T,C,C,C,T,C,T,C
630,Mandibuzz,C,T,C,T,T,T,T,E,E,E,T,C,T,C
631,Heatmor,C,C,C,C,C,C,C,T,T,T,T,T,T,T
632,Durant,C,C,C,C,C,C,C,T,T,T,T,T,T,T
633,Deino,C,C,B,B,T,B,B,C,C,T,C,C,T,T
634,Zweilous,E,E,C,C,T,C,C,E,E,T,E,E,T,T
635,Hydreigon,E,E,E,E,T,C,C,E,E,T,E,E,T,T
636,Larvesta,R,R,B,B,T,T,T,C,C,C,T,T,C,C
637,Volcarona,C,C,C,C,T,T,T,E,E,E,T,T,C,C
638,Cobalion,C,C,C,C,T,T,T,C,C,T,T,T,C,C
639,Terrakion,C,C,C,C,T,T,T,C,C,T,T,T,C,C
640,Virizion,C,C,C,C,T,T,T,C,C,T,T,T,C,C
641,Tornadus,C,Ev,DR,DR,T,T,T,C,T,T,T,Ev,C,Ev
642,Thundurus,Ev,C,DR,DR,T,T,T,T,C,T,Ev,T,Ev,C
643,Reshiram,C,Ev,T,C,T,T,T,C,T,T,T,Ev,C,Ev
644,Zekrom,Ev,C,C,T,T,T,T,T,C,T,Ev,T,Ev,C
645,Landorus,C,C,DR,DR,T,T,T,C,C,T,T,T,C,C
646,Kyurem,C,C,C,C,T,Ev,Ev,C,C,T,T,T,C,C
647,Keldeo,Ev,Ev,Ev,Ev,T,Ev,Ev,Ev,Ev,T,T,T,T,T
648,Meloetta,Ev,Ev,Ev,Ev,T,Ev,Ev,Ev,Ev,T,Ev,Ev,Ev,Ev
649,Genesect,Ev,Ev,Ev,Ev,T,Ev,Ev,Ev,Ev,T,T,T,T,T
