407,Roserade,E,E,E,E,E,E,T,E,C,C,E,E,E,E,E,T,E,E,T,T
408,Cranidos,R,T,R,T,T,T,R,R,R,R,C,R,R,T,R,T,R,T,R,R
409,Rampardos,E,T,E,T,T,T,E,E,E,E,E,E,E,T,E,T,E,T,E,E
410,Shieldon,T,R,R,T,T,T,R,R,R,R,C,R,R,R,T,T,T,R,R,R
411,Bastiodon,T,E,E,T,T,T,E,E,E,E,E,E,E,E,T,T,T,E,E,E
412,Burmy,C,C,C,C,C,T,T,T,T,T,C,C,C,T,T,T,T,T,T,T
413,Wormadam,E,E,E,E,E,T,T,T,T,T,E,E,E,T,T,T,T,T,T,T
414,Mothim,E,E,E,E,E,T,T,T,T,T,E,E,E,T,T,T,T,T,T,T
415,Combee,C,C,C,C,C,C,C,C,C,C,C,C,C,T,T,C,T,T,T,T
416,Vespiquen,E,E,E,E,E,E,C,C,C,C,E,E,E,T,T,E,T,T,T,T
417,Pachirisu,C,C,C,C,C,C,T,T,C,C,C,C,C,Ev,Ev,C,T,T,T,T
418,Buizel,C,C,C,C,C,C,C,C,C,C,C,B,B,T,T,B,T,T,B,B
419,Floatzel,C,C,C,C,C,E,C,C,C,C,E,C,C,T,T,C,T,T,C,C
420,Cherubi,C,C,C,C,C,T,B,B,T,T,C,T,T,B,B,T,T,T,T,T
421,Cherrim,E,E,E,E,E,T,C,C,T,T,E,T,T,C,C,T,T,T,T,T
422,Shellos,C,C,C,T,T,C,T,T,R,R,C,T,T,C,C,B,B,B,R,R
423,Gastrodon,C,C,C,T,T,E,T,T,E,E,E,T,T,E,E,C,C,C,C,C
424,Ambipom,E,E,E,E,E,T,T,T,R,R,E,T,T,E,E,E,T,T,C,C
425,Drifloon,C,C,C,T,T,T,B,B,C,C,C,C,C,C,C,B,C,C,C,C
426,Drifblim,E,E,E,T,T,T,C,C,C,C,E,E,E,E,E,C,C,C,E,E
427,Buneary,C,C,C,S,S,Ev,T,T,C,T,C,T,T,C,C,T,T,T,C,C
428,Lopunny,E,E,E,E,E,EvE,T,T,C,T,E,T,T,E,E,T,T,T,C,C
429,Mismagius,T,E,T,E,E,E,T,C,T,T,E,T,T,E,E,T,C,C,E,E
430,Honchkrow,E,T,T,E,E,E,C,T,E,E,E,E,E,E,E,T,E,E,C,C
431,Glameow,T,C,T,T,T,T,T,T,T,C,C,T,T,C,C,T,T,T,T,T
432,Purugly,T,C,T,T,T,T,T,T,T,E,E,T,T,C,C,T,T,T,T,T
433,Chingling,C,C,C,C,C,C,B,B,T,T,B,C,C,B,B,T,T,T,T,T
434,Stunky,C,T,T,T,T,T,T,T,C,T,C,C,C,T,T,T,T,T,T,T
435,Skuntank,C,T,T,T,T,T,T,T,E,T,E,E,E,T,T,T,T,T,T,T
436,Bronzor,C,C,C,C,C,C,B,B,C,C,C,T,T,C,C,B,T,T,T,T
437,Bronzong,C,C,C,C,C,E,C,C,C,C,E,T,T,E,E,C,T,T,T,T
438,Bonsly,C,C,C,B,B,C,T,T,B,T,B,B,B,T,T,T,C,C,C,C
439,Mime Jr.,C,C,C,B,B,C,T,T,T,B,B,C,C,T,T,T,T,T,C,C
440,Happiny,C,C,C,B,B,Ev,EvB,C,R,R,B,T,T,C,C,B,C,C,C,C
441,Chatot,C,C,C,C,C,Ev,T,T,C,C,C,C,C,C,C,T,T,T,T,T
442,Spiritomb,C,C,C,T,T,C,Ev,Ev,R,R,C,T,T,C,C,C,T,T,T,T
443,Gible,C,C,C,C,C,T,T,T,R,EvB,C,C,C,C,C,B,B,B,B,B
444,Gabite,E,E,C,E,E,T,T,T,E,EvB,E,E,E,E,E,C,C,C,C,C
445,Garchomp,E,E,E,E,E,T,T,T,E,Ev,E,E,E,E,E,E,E,E,E,E
446,Munchlax,C,C,C,B,B,C,R,R,B,B,B,B,B,T,T,T,C,C,C,C
447,Riolu,R,R,R,C,C,T,C,C,C,C,C,C,C,T,T,C,C,C,C,C
448,Lucario,E,E,E,E,E,T,E,E,E,E,E,R,R,Ev,Ev,E,C,C,C,C
449,Hippopotas,C,C,C,C,C,T,S,S,B,B,C,C,C,T,T,T,T,T,B,B
450,Hippowdon,C,C,C,E,E,T,E,E,S,S,E,E,E,T,T,T,T,T,C,C
451,Skorupi,C,C,C,C,C,T,T,T,C,C,C,C,C,C,C,B,T,T,B,B
452,Drapion,C,C,C,E,E,T,T,T,E,E,E,C,C,E,E,C,T,T,C,C
453,Croagunk,C,C,C,C,C,Ev,S,S,C,C,C,C,C,T,T,B,T,T,T,T
454,Toxicroak,C,C,C,E,E,EvE,E,E,C,C,E,E,E,T,T,C,T,T,T,T
455,Carnivine,C,C,C,C,C,T,T,T,C,C,C,C,C,T,T,T,T,T,T,T
456,Finneon,C,C,C,T,T,C,C,C,C,C,C,T,T,C,C,T,C,C,C,C
457,Lumineon,C,C,C,T,T,E,C,C,C,C,E,T,T,E,E,T,C,C,C,C
458,Mantyke,C,C,C,B,T,T,C,C,C,C,B,C,C,C,C,T,T,T,C,C
459,Snover,C,C,C,T,T,C,T,T,T,T,C,C,C,T,T,C,T,T,B,B
460,Abomasnow,C,C,C,T,T,E,T,T,T,T,E,C,C,T,T,E,T,T,C,C
461,Weavile,E,E,E,E,E,E,E,E,E,E,E,E,E,T,T,E,E,E,E,E
462,Magnezone,E,E,E,T,T,E,T,E,C,C,E,E,E,E,E,E,E,E,E,E
463,Lickilicky,E,E,E,E,E,T,E,E,C,C,E,E,E,T,T,T,T,T,E,E
464,Rhyperior,E,E,E,E,E,E,T,E,E,E,E,E,E,E,E,E,E,E,E,E
465,Tangrowth,Ev,Ev,E,E,E,E,C,C,C,C,E,T,T,E,E,E,T,T,T,T
466,Electivire,E,E,E,E,E,E,EvE,E,T,E,E,T,T,E,E,E,E,E,E,E
467,Magmortar,E,E,E,E,E,E,EvE,E,E,T,E,T,T,E,E,E,E,E,E,E
468,Togekiss,E,E,E,E,E,E,Ev,E,E,E,E,T,T,E,E,E,C,C,T,T
469,Yanmega,E,E,E,E,E,T,E,E,C,C,E,E,E,E,E,T,T,T,C,C
470,Leafeon,E,E,E,T,T,EvE,Ev,Ev,E,E,E,E,E,E,E,E,E,E,E,E
471,Glaceon,E,E,E,T,T,EvE,Ev,Ev,E,E,E,E,E,E,E,E,E,E,E,E
472,Gliscor,E,E,E,E,T,T,C,C,C,C,E,E,E,T,T,T,T,T,T,T
473,Mamoswine,E,E,E,E,E,E,C,C,C,C,E,E,E,T,T,E,E,E,E,E
474,Porygon-Z,E,E,E,E,E,T,EvE,E,DRE,DRE,T,T,T,E,E,T,E,E,E,E
475,Gallade,E,E,E,E,E,T,EvB,E,E,E,E,E,E,E,E,E,T,T,E,E
476,Probopass,E,E,E,T,T,T,T,T,E,E,E,E,E,E,E,E,E,E,E,E
477,Dusknoir,E,E,E,E,E,EvE,T,T,T,T,E,T,T,E,E,E,T,T,T,T
478,Froslass,E,E,E,T,T,E,T,T,T,T,E,T,T,E,E,E,E,E,E,E
479,Rotom,C,C,C,T,T,T,R,R,R,R,C,C,C,T,T,T,T,T,C,C
480,Uxie,C,C,C,T,T,T,T,T,C,C,T,T,T,C,C,T,T,T,C,C
481,Mesprit,C,C,C,T,T,T,T,T,C,C,T,T,T,C,C,T,T,T,C,C
482,Azelf,C,C,C,T,T,T,T,T,C,C,T,T,T,C,C,T,T,T,C,C
483,Dialga,C,T,C,EV,EV,T,Ev,Ev,DR,DR,T,Ev,Ev,Ev,C,T,T,Ev,C,Ev
484,Palkia,T,C,C,EV,EV,T,Ev,Ev,DR,DR,T,Ev,Ev,C,Ev,T,Ev,T,Ev,C
485,Heatran,C,C,C,Ev,Ev,T,T,T,C,C,T,T,T,C,C,T,T,Ev,C,Ev
486,Regigigas,C,C,C,T,T,T,T,T,C,C,T,T,T,C,C,T,Ev,T,Ev,C
487,Giratina,C,C,C,EV,EV,T,Ev,Ev,DR,DR,T,Ev,Ev,C,C,T,T,T,C,C
488,Cresselia,C,C,C,T,T,T,Ev,Ev,C,C,T,T,T,C,C,T,T,T,C,C
489,Phione,Ev,Ev,Ev,EvB,EvB,T,T,T,T,T,T,EvB,EvB,EvB,EvB,T,EvB,EvB,EvB,EvB
490,Manaphy,Ev,Ev,Ev,Ev,Ev,T,T,T,T,T,T,Ev,Ev,Ev,Ev,T,Ev,Ev,Ev,Ev
491,Darkrai,Ev,Ev,EV,Ev,Ev,T,Ev,Ev,T,T,T,Ev,Ev,Ev,Ev,T,Ev,Ev,Ev,Ev
492,Shaymin,Ev,Ev,EV,Ev,Ev,T,Ev,Ev,T,T,T,Ev,Ev,Ev,Ev,T,Ev,Ev,Ev,Ev
493,Arceus,Ev,Ev,Ev,T,T,T,Ev,Ev,T,T,T,Ev,Ev,Ev,Ev,T,T,T,Ev,Ev
